"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"323","Aulnay-sous-Bois","Fonds de soutien aux emprunts à risque","1.903139663900511"
"324","Drancy","Fonds de soutien aux emprunts à risque","23.20014437509599"
"325","Le Raincy","Impôts locaux","1001.9203637329085"
"326","Aubervilliers","Impôts locaux","1032.0122536256772"
"327","Aulnay-sous-Bois","Impôts locaux","1295.0022884353114"
"328","Bagnolet","Impôts locaux","1515.8534925176614"
"329","Le Blanc-Mesnil","Impôts locaux","1288.9805979861635"
"330","Bobigny","Impôts locaux","1508.1232766211883"
"331","Bondy","Impôts locaux","1013.095017430795"
"332","Le Bourget","Impôts locaux","1312.9936112979153"
"333","Clichy-sous-Bois","Impôts locaux","776.6741931154801"
"334","Coubron","Impôts locaux","953.1864147248873"
"335","La Courneuve","Impôts locaux","926.9575140096006"
"336","Drancy","Impôts locaux","1060.8708862173446"
"337","Dugny","Impôts locaux","1353.873460591133"
"338","Épinay-sur-Seine","Impôts locaux","761.6479109569887"
"339","Gagny","Impôts locaux","852.4405857326606"
"340","Gournay-sur-Marne","Impôts locaux","1229.5826958525347"
"341","L'Île-Saint-Denis","Impôts locaux","916.9804226649775"
"342","Les Lilas","Impôts locaux","1239.535970155581"
"343","Livry-Gargan","Impôts locaux","1079.7824544549742"
"344","Montfermeil","Impôts locaux","1068.9682206405694"
"345","Montreuil","Impôts locaux","1368.8706918867772"
"346","Neuilly-Plaisance","Impôts locaux","1083.4103909369487"
"347","Neuilly-sur-Marne","Impôts locaux","887.3330853635856"
"348","Noisy-le-Grand","Impôts locaux","1387.0530844660468"
"349","Noisy-le-Sec","Impôts locaux","1080.3135261415994"
"350","Pantin","Impôts locaux","1650.8510146163815"
"351","Les Pavillons-sous-Bois","Impôts locaux","1067.475070051096"
"352","Pierrefitte-sur-Seine","Impôts locaux","847.3087028927404"
"353","Le Pré-Saint-Gervais","Impôts locaux","1054.7801099745757"
"354","Romainville","Impôts locaux","1491.6174609363284"
"355","Rosny-sous-Bois","Impôts locaux","1341.4859408596287"
"356","Saint-Denis","Impôts locaux","1204.5588768273772"
"357","Saint-Ouen-sur-Seine","Impôts locaux","1599.651481620405"
"358","Sevran","Impôts locaux","1032.6099515403255"
"359","Stains","Impôts locaux","805.2470143164454"
"360","Tremblay-en-France","Impôts locaux","2331.03857036088"
"361","Vaujours","Impôts locaux","1178.3044111802888"
"362","Villemomble","Impôts locaux","828.0023923444976"
"363","Villepinte","Impôts locaux","1398.7608639620598"
"364","Villetaneuse","Impôts locaux","978.585577948557"
"365","Aubervilliers","Péréquations et compensations fiscales","84.50691100056504"
"366","Aulnay-sous-Bois","Péréquations et compensations fiscales","170.00362913478654"
"367","Bagnolet","Péréquations et compensations fiscales","17.1077406122604"
"368","Le Blanc-Mesnil","Péréquations et compensations fiscales","19.546051613124185"
"369","Bobigny","Péréquations et compensations fiscales","66.16084887028683"
"370","Bondy","Péréquations et compensations fiscales","16.817400644468314"
"371","Le Bourget","Péréquations et compensations fiscales","11.014525891055817"
"372","Clichy-sous-Bois","Péréquations et compensations fiscales","41.85754210561632"
"373","Coubron","Péréquations et compensations fiscales","5.80184061092618"
"374","La Courneuve","Péréquations et compensations fiscales","132.1706314364863"
"375","Drancy","Péréquations et compensations fiscales","15.473366006227398"
"376","Dugny","Péréquations et compensations fiscales","114.45636875439831"
"377","Épinay-sur-Seine","Péréquations et compensations fiscales","14.148833827395269"
"378","Gagny","Péréquations et compensations fiscales","6.39920352231127"
"379","Gournay-sur-Marne","Péréquations et compensations fiscales","2.6595622119815667"
"380","L'Île-Saint-Denis","Péréquations et compensations fiscales","32.337095473914545"
"381","Les Lilas","Péréquations et compensations fiscales","10.766119801602441"
"382","Livry-Gargan","Péréquations et compensations fiscales","4.732506815526419"
"383","Montfermeil","Péréquations et compensations fiscales","19.916327402135234"
"384","Montreuil","Péréquations et compensations fiscales","14.016986976353914"
"385","Neuilly-Plaisance","Péréquations et compensations fiscales","6.115609620206147"
"386","Neuilly-sur-Marne","Péréquations et compensations fiscales","11.443848136241664"
