Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
78070;Boinville-en-Mantois;0;28030;6;214
78071;Boinville-le-Gaillard;0;26570;9;432
78072;Boinvilliers;0;30620;7;198
78073;Bois-d'Arcy;1;27520;135;11597
78076;Boissets;0;27650;3;212
78077;La Boissière-École;0;27710;8;534
78082;Boissy-Mauvoisin;0;27790;8;448
78084;Boissy-sans-Avoir;0;31530;8;467
78087;Bonnelles;0;30380;20;1633
78089;Bonnières-sur-Seine;0;20720;40;3563
78090;Bouafle;0;28450;34;1593
78092;Bougival;0;31630;58;6375
78096;Bourdonné;0;32020;5;388
78104;Breuil-Bois-Robert;0;28740;11;559
78107;Bréval;0;27310;20;1501
78108;Les Bréviaires;0;32520;11;971
78113;Brueil-en-Vexin;0;30950;8;479
78117;Buc;1;35400;47;4199
78118;Buchelay;0;24140;66;2263
78120;Bullion;0;33250;12;1368
78123;Carrières-sous-Poissy;1;22570;108;13236
78124;Carrières-sur-Seine;1;32680;160;10132
78125;La Celle-les-Bordes;0;35610;5;658
78126;La Celle-Saint-Cloud;0;29510;111;14061
78128;Cernay-la-Ville;0;34950;9;1120
78133;Chambourcy;0;32930;41;4040
78138;Chanteloup-les-Vignes;0;19940;96;6951
78140;Chapet;0;32520;13;965
78143;Châteaufort;0;37760;9;1063
78146;Chatou;1;33670;133;21146
78147;Chaufour-lès-Bonnières;0;27350;6;330
78152;Chavenay;0;41630;12;1236
78158;Le Chesnay-Rocquencourt;0;33520;98;22937
78160;Chevreuse;1;33230;30;4127
78162;Choisel;0;35390;3;406
78163;Civry-la-Forêt;0;29400;8;275
78164;Clairefontaine-en-Yvelines;0;34860;11;648
78165;Les Clayes-sous-Bois;0;26060;157;12124
78168;Coignières;0;23590;152;3039
78171;Condé-sur-Vesgre;0;30840;10;902
78172;Conflans-Sainte-Honorine;0;27320;278;25528
