Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
91035;Authon-la-Plaine;9
91037;Auvernaux;13
91038;Auvers-Saint-Georges;30
91041;Avrainville;28
91044;Ballainvilliers;151
91045;Ballancourt-sur-Essonne;273
91047;Baulne;50
91064;Bièvres;114
91067;Blandy;1
91069;Boigneville;15
91075;Bois-Herpin;5
91079;Boissy-la-Rivière;14
91080;Boissy-le-Cutté;26
91081;Boissy-le-Sec;17
91085;Boissy-sous-Saint-Yon;82
91086;Bondoufle;231
91093;Boullay-les-Troux;13
91095;Bouray-sur-Juine;46
91097;Boussy-Saint-Antoine;209
91098;Boutervilliers;6
91099;Boutigny-sur-Essonne;97
91100;Bouville;24
91103;Brétigny-sur-Orge;821
91105;Breuillet;191
91106;Breux-Jouy;28
91109;Brières-les-Scellés;21
91111;Briis-sous-Forges;71
91112;Brouy;8
91114;Brunoy;675
91115;Bruyères-le-Châtel;139
91121;Buno-Bonnevaux;14
91122;Bures-sur-Yvette;347
91129;Cerny;104
91130;Chalo-Saint-Mars;48
91131;Chalou-Moulineux;17
91132;Chamarande;31
91135;Champcueil;52
91136;Champlan;62
91137;Champmotteux;6
91145;Chatignonville;5
91148;Chauffour-lès-Étréchy;1
91156;Cheptainville;44
91159;Chevannes;50
91161;Chilly-Mazarin;601
91174;Corbeil-Essonnes;2365
91175;Corbreuse;39
91179;Le Coudray-Montceaux;119
91180;Courances;10
91184;Courdimanche-sur-Essonne;5
91186;Courson-Monteloup;12
91191;Crosne;327
91195;Dannemois;33
91198;D'Huison-Longueville;28
91200;Dourdan;395
91201;Draveil;626
91204;Écharcon;9
91207;Égly;112
91215;Épinay-sous-Sénart;333
91216;Épinay-sur-Orge;328
91223;Étampes;1304
91225;Étiolles;115
91226;Étréchy;192
91228;Évry-Courcouronnes;1657
91232;La Ferté-Alais;219
91235;Fleury-Mérogis;336
91240;Fontaine-la-Rivière;4
91243;Fontenay-lès-Briis;85
91244;Fontenay-le-Vicomte;30
91247;La Forêt-le-Roi;12
91248;La Forêt-Sainte-Croix;6
91249;Forges-les-Bains;127
91272;Gif-sur-Yvette;727
91273;Gironville-sur-Essonne;26
91274;Gometz-la-Ville;31
91275;Gometz-le-Châtel;88
91284;Les Granges-le-Roi;23
91286;Grigny;1026
91292;Guibeville;8
91293;Guigneville-sur-Essonne;19
91294;Guillerval;28
91312;Igny;286
91315;Itteville;145
91318;Janville-sur-Juine;64
91319;Janvry;23
91326;Juvisy-sur-Orge;598
91330;Lardy;175
91332;Leudeville;36
91333;Leuville-sur-Orge;134
91338;Limours;156
91339;Linas;203
91340;Lisses;111
91345;Longjumeau;858
91347;Longpont-sur-Orge;253
91359;Maisse;100
91363;Marcoussis;179
91374;Marolles-en-Beauce;2
91376;Marolles-en-Hurepoix;97
91377;Massy;962
91378;Mauchamps;14
91386;Mennecy;338
91390;Le Mérévillois;104
91393;Mérobert;17
91399;Mespuits;12
91405;Milly-la-Forêt;172
91408;Moigny-sur-École;40
91411;Les Molières;20
91412;Mondeville;12
91414;Monnerville;12
91421;Montgeron;740
91425;Montlhéry;405
91432;Morangis;398
91433;Morigny-Champigny;68
