Code,LIBCOM,nbEntreprises,RP,nonDiplomes,MFS
26287,Roynac,35,210,0,0
26288,Sahune,28,152,0,0
26289,Saillans,176,641,15.4,1
26290,Saint-Agnan-en-Vercors,42,183,0,0
26291,Saint-Andéol,12,41,0,0
26292,Saint-Auban-sur-l'Ouvèze,24,98,0,0
26293,Saint-Avit,14,120,20,0
26294,Saint-Bardoux,42,246,0,0
26295,Saint-Barthélemy-de-Vals,107,791,6.5,0
26296,Saint-Benoit-en-Diois,2,15,N/A,0
26298,Saint-Christophe-et-le-Laris,30,184,30.8,0
26299,Sainte-Croix,7,58,0,0
26300,Saint-Dizier-en-Diois,4,24,N/A,0
26301,Saint-Donat-sur-l'Herbasse,422,1865,18.9,0
26302,Sainte-Eulalie-en-Royans,40,229,14.3,0
26303,Sainte-Euphémie-sur-Ouvèze,15,43,0,0
26304,Saint-Ferréol-Trente-Pas,25,118,28.6,0
26305,Saint-Gervais-sur-Roubion,96,461,0,0
26306,Sainte-Jalle,36,159,16.7,0
26307,Saint-Jean-en-Royans,286,1363,18.7,1
26308,Saint-Julien-en-Quint,24,68,N/A,0
26309,Saint-Julien-en-Vercors,23,109,0,0
26310,Saint-Laurent-d'Onay,13,70,28.6,0
26311,Saint-Laurent-en-Royans,109,556,39,0
26312,Saint-Marcel-lès-Sauzet,99,532,25.6,0
26313,Saint-Marcel-lès-Valence,593,2421,18.2,0
26314,Saint-Martin-d'Août,25,162,20,0
26315,Saint-Martin-en-Vercors,46,175,35.3,0
26316,Saint-Martin-le-Colonel,12,89,0,0
26317,Saint-Maurice-sur-Eygues,60,341,14.7,0
26318,Saint-May,3,22,N/A,0
26319,Saint-Michel-sur-Savasse,33,236,21.4,0
26320,Saint-Nazaire-en-Royans,71,372,12,0
26321,Saint-Nazaire-le-Désert,22,111,50,0
26322,Saint-Pantaléon-les-Vignes,36,214,0,0
26323,Saint-Paul-lès-Romans,193,748,25.9,0
26324,Saint-Paul-Trois-Châteaux,650,3814,14.2,0
26325,Saint-Rambert-d'Albon,475,2579,20.8,0
26326,Saint-Restitut,127,635,7.9,0
26327,Saint-Roman,10,93,25,0
26328,Saint-Sauveur-en-Diois,3,27,0,0
26329,Saint-Sauveur-Gouvernet,12,90,25,0
26330,Saint-Sorlin-en-Valloire,166,935,12.1,0
26331,Saint-Thomas-en-Royans,46,196,52.4,0
26332,Saint-Uze,118,859,24.6,0
26333,Saint-Vallier,306,1858,28,0
26334,Salettes,20,57,0,0
26335,Salles-sous-Bois,21,95,20,0
26336,Saou,88,256,0,0
26337,Saulce-sur-Rhône,172,786,13.6,0
26338,Sauzet,177,860,5.6,0
26339,Savasse,137,651,7.7,0
26340,Séderon,37,148,34,0
26341,Serves-sur-Rhône,52,298,13,0
26342,Solérieux,27,130,16.7,0
26343,Souspierre,9,49,N/A,0
26344,Soyans,35,161,16.6,0
26345,Suze-la-Rousse,178,918,18,0
26346,Suze,26,97,0,0
26347,Tain-l'Hermitage,500,2965,26.6,0
26348,Taulignan,124,796,23.7,1
26349,Tersanne,16,133,33.3,0
26350,Teyssières,3,35,0,0
26351,Les Tonils,1,13,N/A,0
26352,La Touche,26,105,25,0
26353,Les Tourrettes,79,406,17.5,0
26355,Triors,27,230,15,0
26356,Truinas,10,55,0,0
26357,Tulette,183,913,17.2,0
26358,Upie,127,614,7.8,0
26359,Vachères-en-Quint,5,20,N/A,0
26360,Valaurie,100,278,5.9,0
26361,Valdrôme,11,69,0,0
26362,Valence,6561,32037,18.6,0
26363,Valouse,8,16,0,0
26364,Vassieux-en-Vercors,42,152,0,0
26365,Vaunaveys-la-Rochette,64,264,0,0
26367,Venterol,57,306,9,0
26368,Vercheny,37,174,0,0
26369,Verclause,7,34,N/A,0
26370,Vercoiran,12,66,50,0
26371,Véronne,9,21,N/A,0
26372,Vers-sur-Méouge,3,19,0,0
26373,Vesc,22,113,12.5,0
26374,Villebois-les-Pins,0,9,N/A,0
26375,Villefranche-le-Château,2,9,0,0
26376,Villeperdrix,14,58,0,0
26377,Vinsobres,109,498,7.4,0
26378,Volvent,0,13,0,0
26379,Granges-les-Beaumont,59,385,18.5,0
26380,Gervans,49,232,0,0
26381,Jaillans,72,342,9.6,0
26382,Saint-Vincent-la-Commanderie,28,229,7.7,0
27001,Aclou,21,132,42.9,0
27002,Acon,32,194,27.8,0
27003,Acquigny,144,681,11,0
27004,Aigleville,24,134,0,0
27005,Ailly,76,444,16.6,0
27006,Aizier,7,60,0,0
27008,Alizay,100,637,27.3,0
27009,Ambenay,34,235,20,0
27010,Amécourt,10,70,0,0
27011,Amfreville-Saint-Amand,72,506,10.5,0
27012,Amfreville-les-Champs,19,171,7.1,0
27013,Amfreville-sous-les-Monts,23,185,0,0
27014,Amfreville-sur-Iton,34,332,21.6,0
27015,Andé,50,494,7.7,0
27016,Les Andelys,501,3443,28.2,1
27017,Angerville-la-Campagne,92,564,12.7,0
27018,Appeville-Annebault,36,417,15,0
27019,Armentières-sur-Avre,18,67,66.7,0
27020,Arnières-sur-Iton,73,699,21.6,0
27021,Asnières,21,142,11.1,0
27022,Le Val d'Hazey,258,2181,15.9,0
27023,Aulnay-sur-Iton,24,300,21.1,0
27025,Autheuil-Authouillet,65,395,8.5,0
27026,Authevernes,34,158,10.5,0
27027,Les Authieux,21,108,28.6,0
27028,Authou,12,143,9.1,0
27031,Aviron,42,463,18.8,0
27032,Chambois,57,539,23.5,0
27033,Bacquepuis,7,120,0,0
27034,Bacqueville,37,229,5.9,0
27035,Bailleul-la-Vallée,6,53,N/A,0
27036,Bâlines,36,222,18.2,0
27037,Barc,62,452,11.1,0
27038,Les Barils,14,108,0,0
27039,Barneville-sur-Seine,19,202,0,0
27040,Barquet,18,174,20,0
27042,Barville,5,31,0,0
27043,Les Baux-de-Breteuil,43,294,13.3,0
27044,Les Baux-Sainte-Croix,36,381,30.3,0
27045,Bazincourt-sur-Epte,37,284,4.8,0
27046,Bazoques,10,66,16.7,0
27047,Beaubray,18,138,40,0
27048,Beauficel-en-Lyons,13,83,11.1,0
27049,Mesnil-en-Ouche,302,2049,19,0
27050,Beaumontel,25,300,4.5,0
27051,Beaumont-le-Roger,196,1368,21.4,1
27052,Le Bec-Hellouin,33,170,10.1,0
27053,Le Bec-Thomas,9,88,0,0
27054,Bémécourt,25,224,0,0
27055,Bérengeville-la-Campagne,13,126,6.2,0
27056,Bernay,870,5340,18.7,0
27057,Bernienville,19,113,0,0
27058,Les Trois Lacs,95,687,17.5,0
27059,Bernouville,19,122,14.3,0
27061,Berthouville,14,133,0,0
27062,Les Monts du Roumois,65,604,6.5,0
27063,Berville-la-Campagne,7,88,16.7,0
27064,Berville-sur-Mer,35,260,28.3,0
27065,Beuzeville,338,2130,15.8,0
27066,Bézu-la-Forêt,15,118,20,0
27067,Bézu-Saint-Éloi,116,596,11.5,0
27068,Bois-Anzeray,8,74,50,0
27069,Bois-Arnault,33,306,12.6,0
27070,Frenelles-en-Vexin,76,623,15.1,0
27071,Le Bois-Hellain,12,91,0,0
27072,Bois-Jérôme-Saint-Ouen,36,307,15.3,0
27073,Bois-le-Roi,49,446,14.7,0
27074,Boisney,27,127,0,0
